ID, Station Name, Latitude (deg), Longitude (deg), Ellipsoidal Elevation (m), X (m), Y (m), Z (m), Epoch Date (YYYYMMDD)
1LSU, Louisiana_St,       30.4074247080,  -91.1802634353,   -6.56246,  -113403.03831, -5504361.32303,  3209404.19871, 20230517
1NSU, Northwestern,       31.7508006083,  -93.0976052668,   28.05145,  -293349.68096, -5420742.32457,  3336980.83627, 20230517
1ULM, U_Of_La_At_M,       32.5290338788,  -92.0759082079,   15.96934,  -194982.24585, -5379221.91778,  3410046.81587, 20230517
AB02, Nikolski__AK2007,   52.9706031624, -168.8546716308,  192.81288, -3776808.38751,  -744083.78241,  5068727.94920, 20230517
AB06, FalsePass_AK2005,   54.8853200440, -163.4234553380,  500.43883, -3524499.77713, -1049128.14768,  5194459.88387, 20230517
AB07, SandPoint_AK2004,   55.3492721016, -160.4767563846,   89.49129, -3425750.35795, -1214686.07628,  5223662.47974, 20230517
AB08, Mekoryuk__AK2008,   60.3848294033, -166.2008566530,   26.50880, -3068712.35175,  -753699.39825,  5521813.30911, 20230517
AB09, Razorback_AK2007,   65.6149789207, -168.0621253889,  162.07510, -2583614.88182,  -546237.00719,  5786501.66389, 20230517
AB11, Nome_AnvilAK2006,   64.5644935918, -165.3734588649,  349.44483, -2658010.54813,  -693674.85952,  5737338.43287, 20230517
AB13, ChignikLgnAK2006,   56.3073197766, -158.5037921071,  487.75432, -3299991.99449, -1299649.12394,  5283906.57551, 20230513
AB14, DillinghamAK2007,   59.1081635132, -159.0915326736,  657.64922, -3066909.74869, -1171658.30691,  5450696.49386, 20230517
AB15, Nyac_Gold_AK2006,   61.0397500537, -159.8783619725,  560.32263, -2907528.36407, -1065249.54826,  5557978.90118, 20230517
AB17, UnalakleetAK2008,   63.8863568910, -160.6947316362,  117.43113, -2656728.14566,  -930647.21925,  5704255.57209, 20230517
AB18, Kotzebue__AK2007,   66.8583607471, -162.6135090862,   37.10497, -2398929.32304,  -751157.76324,  5842257.61564, 20230517
AB21, AdakIAleutAK2006,   51.8641488766, -176.6626498295,   59.42888, -3940203.76837,  -229767.91019,  4993529.87212, 20230517
AB22, IlliamnaHPAK2006,   59.8993172711, -154.6982595477,  199.86165, -2899273.60189, -1370588.10346,  5495032.90738, 20230517
AB27, Kobuk_VallAK2007,   67.0558838595, -156.9048905969,  508.09105, -2293837.80546,  -978173.32906,  5851313.58897, 20230517
AB28, Rainy_PassAK2006,   62.0938124791, -152.8149193426, 1582.75751, -2663005.40199, -1367722.41895,  5614814.72954, 20230517
