Year,RO,HR,Grain,Rice,Cotton,Sugar Beets,Corn,Dry Beans, Safflower,Other Field Crops, Alfalfa,Pasture,Tomato Processing,Tomato Fresh,Cucurbits, Onions & Garlic, Potatoes,Truck Crops, Almonds & Pistachios, Other Deciduous, Citrus & Subtropical, Vineyard,Total AW
2011,NRO,01_North Coast,94049.95,0,0,0,103.34,0,0,4728.92,108735.04,201372.47,0,0,6.84,5736.42,18715.5,21164.28,0,782.98,0,719.07,456114.81
2011,NRO,05_Sacramento River,44313.94,906358.13,6913.92,79.79,71199.11,10145.99,5013.24,43753.3,202571.46,492247.09,61038.04,0,36499.03,6715.3,0,10605.92,465739.57,356675.97,72210.8,30644.65,2822725.26
2011,NRO,08_North Lahontan,4918.61,308.14,0,0,0,0,0,113.41,84209.9,92410.57,0,0,0,0,0,674.37,0,14.04,0,0,182649.05
2012,NRO,01_North Coast,90556.21,0,0,0,110.58,0,0,0,207055.24,218382.43,0,0,6.96,8835.15,19965.79,19402.5,0,855.15,0,860.56,566030.57
2012,NRO,05_Sacramento River,67517.81,1066695.05,3055.81,0,77455.9,11873.49,7244.36,45888.84,320926.09,561370.06,68201.61,0,30215.13,8060.46,0,9029.05,577461.53,429766.77,88646.24,36902.25,3410310.46
2012,NRO,08_North Lahontan,16328.11,1438.07,0,0,0,0,125.12,0,135372.17,46636.61,0,0,0,0,0,550.61,0,17.11,0,0,200467.8
2013,NRO,01_North Coast,98130.77,0,0,0,103.86,0,0,0,161310.19,250529.75,0,0,0,8611.37,19047.82,25102.11,0,383.59,0,911.81,564131.27
2013,NRO,05_Sacramento River,77063.75,1070519.73,2235.53,0,56077.9,13161.33,7034.84,49354.75,292443.56,648173.03,68456.07,0,8207.54,5307.48,0,7532.08,643116.05,459420.92,102773.21,44687.7,3555565.49
2013,NRO,08_North Lahontan,10246.32,1699.57,0,0,0,0,786.01,0,107243.28,107082.5,0,0,0,0,0,534.19,0,15.2,0,0,227607.06
2014,NRO,01_North Coast,101053.49,0,0,0,116.78,0,0,0,171335.94,238692.77,0,0,0,8793.66,21602.03,14624.52,0,531.5,0,917,557667.67
2014,NRO,05_Sacramento River,48088.72,878772.4,3273.35,0,40971.26,14729.56,11208.17,49469.28,264273.39,624985.75,77400.02,0,11172.13,1237.08,0,11534.14,638880.68,528336.33,113691.09,44443.34,3362466.7
2014,NRO,08_North Lahontan,11480.68,1354.23,0,0,0,0,0,0,117744.08,112035.19,0,0,0,0,0,722.65,0,0,0,0,243336.82
2015,NRO,01_North Coast,94325.05,0,0,0,111.61,0,0,0,142197.64,237329.05,0,0,0,6841.8,18328.07,20048.35,0,474.48,0,889.34,520545.41
2015,NRO,05_Sacramento River,54580.64,833654.89,2535.41,107.21,35116.62,16954.61,12804.3,38153.83,264964.27,597838.51,83129.3,0,12140.06,1443.64,0,10870.66,717564.09,529434.52,92991.47,43675.18,3347959.23
2015,NRO,08_North Lahontan,9820.78,1063.16,0,0,0,0,0,0,101061.19,96045.6,0,0,0,0,0,707.81,0,0,0,0,208698.54
2011,NCRO,01_North Coast,1147.61,0,0,0,1472.14,0,0,122.63,158.92,21363.79,0,0,274.24,0,0,1812.9,0,8899.18,879.19,82961.09,119091.69
2011,NCRO,02_San Francisco Bay,3552.86,0,0,0,290.53,260.68,569.05,975.99,2219.97,20069.26,33.6,0,996.86,33.49,0,5992.97,594.68,3607.84,1370.67,67468.9,108037.35
2011,NCRO,03_Central Coast,1830.97,0,0,0,1028.28,353.6,0,147.87,240.16,1565.14,2135.04,948.75,249.85,1167.54,0,15437.64,0,4108.93,104.05,1396.58,30714.4
2011,NCRO,05_Sacramento River,52429.82,499314.04,2749.41,0,120537.94,13797.01,14721.13,80948.09,249539.13,350599.58,102432.37,0,14376.1,1579.03,1678.95,24658.83,53567.24,391000.01,7069.53,57729.25,2038727.46
2011,NCRO,06_San Joaquin River,10816.27,15157.36,216.75,0,197660.59,6955.74,3889.61,108490.74,212317.78,145776.79,54681.88,0,13191.35,3089.25,4101.52,40386.05,173660.19,120599.22,12091.64,268985.25,1392067.98
2011,NCRO,08_North Lahontan,0,0,0,0,0,0,0,0,7495.1,85978.04,0,0,0,0,0,7.36,0,0,0,0,93480.5
2012,NCRO,01_North Coast,1852.11,0,0,0,999.63,0,0,138.28,183.86,24700.44,0,0,269.63,0,0,2160.52,0,9823.75,1205.24,100559.49,141892.95
2012,NCRO,02_San Francisco Bay,4556.93,0,0,0,323.73,694.25,590,1056.98,2885.98,24205.17,36.86,0,1074.55,31.1,0,6772.99,682.15,4954.85,1616.4,87656.83,137138.77
2012,NCRO,03_Central Coast,2891.6,0,0,0,1070.59,334.56,0,156.23,266.28,1831.17,1932.64,1254.51,349.97,928.96,0,18149.11,0,4680.96,124.85,1399.87,35371.3
2012,NCRO,05_Sacramento River,81611.85,590355.17,1949.36,0,145038.99,25876.33,19906.17,102884.46,292522.22,404037.92,121564.41,0,12022.89,1604.81,1931.1,22989.47,57248.37,422234.57,7803.98,73401.65,2384983.72
2012,NCRO,06_San Joaquin River,11148.16,18868.85,177.1,0,232455.54,11761.19,6804.81,168273.17,267753.95,172077.66,59316.37,0,17115.99,2099.76,5269.52,35235.92,203586.95,378046.88,15201.04,351380.68,1956573.54
2012,NCRO,08_North Lahontan,0,0,0,0,0,0,0,0,10075.91,103163.63,0,0,0,0,0,17.57,0,0,0,0,113257.11
2013,NCRO,01_North Coast,2034.51,0,0,0,1187.62,0,0,124.13,205.32,25456.16,0,0,208.96,0,0,2145.58,0,7618.25,858.95,96626.56,136466.04
2013,NCRO,02_San Francisco Bay,8355.67,0,0,0,325.63,854.28,528.96,1059.23,3594.56,25915.77,32.94,0,767.24,39.15,0,7912.17,647.94,5248.48,1673.58,72285.84,129241.44
2013,NCRO,03_Central Coast,4100.86,0,0,0,1128.4,326.4,0,154.78,433.58,1977.03,1501.26,1341.6,287.55,818.3,0,18647.96,0,7000.34,151.54,1405.42,39275.02
2013,NCRO,05_Sacramento River,119692.5,589046.88,1590.82,0,138086.12,17963.23,8647.99,115519.32,299468.43,409792.28,116031.54,0,15616.92,6082.27,1931.1,21336.58,72754.52,475265.17,14119.35,73120.36,2496065.38
2013,NCRO,06_San Joaquin River,19742.24,13896.35,190.8,0,217992.38,19122.23,5446.88,11823.51,258412.06,168348.35,56049.87,0,16708.42,3536.95,5323.04,34080.46,220150.36,350978.67,13629.95,344363.35,1759795.87
2013,NCRO,08_North Lahontan,0,0,0,0,0,0,0,0,9504.45,94649.84,0,0,0,0,0,18.48,0,0,0,0,104172.77
2014,NCRO,01_North Coast,1970.15,0,0,0,249.73,0,0,128.8,189.66,24921.69,0,0,206.41,0,0,1689.73,0,9363.37,950.74,101647.98,141318.26
2014,NCRO,02_San Francisco Bay,7041.4,0,0,0,355.4,724.76,593.53,1091.1,3646.31,26382.17,37.66,0,755.27,38.94,0,7481.55,842.58,4905.66,1745.9,85568.04,141210.27
2014,NCRO,03_Central Coast,3489.23,0,0,0,1424.26,329.12,0,155.5,388.8,1976.1,1672.65,1534.4,258.3,1652.86,0,18056.6,0,4760.4,140.02,1400.3,37238.54
2014,NCRO,05_Sacramento River,113632.73,456331.2,1123.35,0,108864.03,23420.77,18703.89,102108.35,300901.16,428063.47,144095.09,568.26,17353.08,6999.38,1955.7,24908.52,99178.13,500146.01,12824.42,82116.12,2443293.66
2014,NCRO,06_San Joaquin River,15374.24,10899.21,214.5,0,198327.92,19126.92,4271.76,7130.85,277268.54,172159.61,76827.86,0,18001.21,2082.7,6406.2,31090.45,250469.86,384884.25,13495.74,360490.18,1848522
2014,NCRO,08_North Lahontan,0,0,0,0,0,0,0,0,7742.19,89780.72,0,0,0,0,0,2.66,0,0,0,0,97525.57
2015,NCRO,01_North Coast,2316.72,0,0,0,745.39,0,0,131.41,209.38,23654.01,0,0,211.74,0,0,1584.89,0,8319.45,980.05,96527.2,134680.24
2015,NCRO,02_San Francisco Bay,7611.54,0,0,0,224.2,1047.9,344.53,1050.55,3496.08,27391.87,34.9,0,827.72,50.06,0,7121.67,1093.15,4814.25,1556.02,87017.01,143681.45
2015,NCRO,03_Central Coast,3532.69,0,0,0,1431.36,337.28,0,145.88,340.2,1478.49,1576.26,1797.12,236.4,1624.39,0,20170.98,0,4289.89,140.63,1350.44,38452.01
2015,NCRO,05_Sacramento River,100624.39,455939.51,1702.83,0,80680.83,18855.77,20633.18,99211.13,312457.52,446293.06,144536.55,575.19,27389.66,1523.98,1943.4,33161.8,117372.81,501601.69,12011.5,90572.63,2467087.43
