"Station Name","County","Station Type","Status","Status Date","Primary Responsible Entity","Primary Water Use","Artesian Well","Geothermal Well","Well Total Depth (ft)","Well Completion Date","Method Drilled","Well Construction ID","Metal Tags","USGS ID","Elevation (ft)","Height System","Time Zone","IDTM Easting","IDTM Northing","Latitude","Longitude","Method of Positioning"
"01N 01E 01ADC1","ADA","Well","Discontinued",2020-06-18,"---","Irrigation","No","Yes",480,1974-05-17,"---","393460","---","432710116163901",2875,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2315593.53,1363751.39,43.4519444438454,-116.279166606303,"GPS"
"01N 01E 03CCC1","ADA","Well","Inactive",2020-06-18,"---","Irrigation","No","No",288,1956-05-10,"Cable","424900","A0011113","432644116195401",2782,"Professional Survey","(UTC-07:00) Mountain Time (US & Canada)",2311247.45,1363173.99,43.4456667117103,-116.33263884183,"GPS"
"01N 01E 04AAA1","ADA","Well","Inactive",2020-06-18,"---","Irrigation","No","No",110,1954-01-01,"---","---","---","432733116200201",2784,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2311111.03,1364665.85,43.4590544162035,-116.334839947644,"Digitized"
"01N 01E 04CCD1","ADA","Well","Inactive",2020-06-18,"---","Irrigation","No","No",302,1960-07-16,"Cable","424898","---","432641116205501",2792,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2309874.63,1363095.13,43.4446099883653,-116.349562956227,"Digitized"
"01N 01E 05CCD1","ADA","Well","Inactive",2020-06-18,"---","Irrigation","No","Yes",440,1975-02-12,"---","389790","---","432641116221201",2817,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2308143.76,1363144.12,43.4446093685782,-116.370952289221,"Digitized"
"01N 01E 06AAA1","ADA","Well","Inactive",2020-06-18,"---","Domestic","No","No",238,1988-11-03,"Air Rotary","305565","---","432729116222801",2763,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2307826.33,1364635.24,43.4579430419974,-116.37539703174,"Digitized"
"01N 01E 07AC1","ADA","Well","Inactive",2020-06-18,"---","Domestic","No","No",200,1979-07-23,"Air Rotary","350114","---","---",2800,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2307370.78,1362592.58,43.4394489798883,-116.380302004494,"Digitized"
"01N 01E 09DA1","ADA","Well","Inactive",2020-06-18,"---","Domestic","No","No",309,1989-04-10,"Air Rotary","306328","---","---",2805,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2310563.99,1362078.48,43.4356379969788,-116.340698044014,"Digitized"
"01N 01E 12DAA1","ADA","Well","Inactive",2020-06-18,"---","Unused","No","Yes",322,1978-05-09,"---","359174","---","432613116162901",2860,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2315830.53,1362065.35,43.4368330131936,-116.275670681244,"Digitized"
"01N 01E 12DAA2","ADA","Well","Inactive",2020-06-18,"---","Irrigation","No","Yes",422,1998-01-05,"---","296402","---","432613116162902",2860,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2315873.15,1362048.78,43.4366944041829,-116.27513887134,"Digitized"
"01N 01E 12DDA1","ADA","Well","Active",2020-06-18,"Consultant","Other","No","No",398,2014-07-20,"Air Rotary","---","---","---",2858,"Digitized","(UTC-07:00) Mountain Time (US & Canada)",2315899.22,1361652.27,43.4331332937455,-116.274683291508,"Digitized"
"01N 01E 13BBC1","ADA","Well","Active",2020-06-18,"Consultant","Irrigation","No","No",575,2014-11-21,"Air Rotary","---","---","---",2828,"Digitized","(UTC-07:00) Mountain Time (US & Canada)",2314355.53,1360990.68,43.4267999645116,-116.293516719394,"GPS"
"01N 01E 14AAC1","ADA","Well","Active",2020-06-18,"Consultant","Irrigation","No","No",540,2014-06-04,"---","---","---","---",2825,"Digitized","(UTC-07:00) Mountain Time (US & Canada)",2314040.77,1361032.7,43.4270999897323,-116.297416610247,"Digitized"
"01N 01E 14AAC2","ADA","Well","Active",2020-06-18,"Consultant","---","No","No",NA,NA,"---","---","---","---",2822,"Digitized","(UTC-07:00) Mountain Time (US & Canada)",2314056.19,1361004.49,43.4268500057471,-116.297216652387,"GPS"
"01N 01E 15BB1","ADA","Well","Inactive",2020-06-18,"---","Domestic","No","No",355,1967-08-31,"Air Rotary","---","---","---",2809,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2311358.95,1361249.37,43.428379121271,-116.330596996682,"Digitized"
"01N 01E 16ACC1","ADA","Well","Active",2020-06-18,"IDWR","Domestic","No","Yes",386,1993-04-23,"Air Rotary","301433","A0011102","432525116203301",2820,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2310326.27,1360736.03,43.4235000080993,-116.343166706133,"GPS"
"01N 01E 18CC1","ADA","Well","Inactive",2020-06-18,"---","Domestic","No","No",390,1997-02-10,"Cable","297793","---","---",2865,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2306467.7,1360194.42,43.4176410304981,-116.39060199703,"Digitized"
"01N 01E 19ADB1","ADA","Well","Inactive",2020-06-18,"---","Irrigation","No","No",440,1973-11-13,"Cable","401752","---","432442116223901",2880,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2307432.04,1359490.23,43.4115539943528,-116.37845202813,"Digitized"
"01N 01E 21AB1","ADA","Well","Inactive",2020-06-18,"---","Domestic","No","No",222,1985-09-02,"Air Rotary","350794","---","---",2838,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2310512.12,1359661.44,43.4138790345096,-116.340500034181,"Digitized"
"01N 01E 31DC1","ADA","Well","Inactive",2020-06-18,"---","Domestic","No","No",260,1986-01-24,"Air Rotary","---","---","---",3070,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2307093.83,1355454.64,43.3751601725179,-116.381203032171,"Digitized"
"01N 01E 33AAD1","ADA","Well","Discontinued",2020-06-18,"---","Irrigation","No","Yes",618,1972-04-10,"Cable","345476","---","432301116200401",2865,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2310831.03,1356275.79,43.383498992142,-116.335393333969,"Digitized"
"01N 01E 34AAA1","ADA","Well","Active",2020-06-18,"IDWR","---","No","No",NA,NA,"---","---","---","---",2838,"Digitized","(UTC-07:00) Mountain Time (US & Canada)",2312563.57,1356462.49,43.3856134166758,-116.314085334878,"Digitized"
"01N 01E 34BBB1","ADA","Well","Active",2020-06-18,"---","Irrigation","No","No",400,1968-01-01,"Cable","---","---","432311116195701",2831,"Digitized","(UTC-07:00) Mountain Time (US & Canada)",2312666.52,1356482.47,43.3858188834595,-116.312822172423,"GPS"
"01N 01E 35BA1","ADA","Well","Inactive",2020-06-18,"---","Irrigation","No","No",397,1969-03-27,"Cable","400280","---","---",2820,"Unknown","(UTC-07:00) Mountain Time (US & Canada)",2313369.07,1356488.93,43.3860520396317,-116.304157584976,"GPS"
"01N 01E 35BAA1","ADA","Well","Active",2020-06-18,"---","Irrigation","No","Yes",397,1969-03-27,"---","400280","---","---",2820,"Unknown","(UTC-07:00) Mountain Time (US & Canada)",2313369.07,1356488.93,43.3860520396317,-116.304157584976,"GPS"
"01N 01W 01ADD1","ADA","Well","Inactive",2020-06-18,"---","Irrigation","No","No",423,1962-08-10,"Cable","399736","---","432707116233801",2797,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2306233.62,1364001.49,43.4518309824712,-116.394842030697,"Digitized"
"01N 01W 01BDB1","ADA","Well","Inactive",2020-06-18,"---","Irrigation","No","No",401,1964-01-30,"Cable","---","---","432717116242501",2794,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2305186.15,1364340.47,43.4546088036731,-116.407898014571,"Digitized"
"01N 01W 07ACC1","ADA","Well","Inactive",2020-06-18,"---","Irrigation","No","Yes",645,1965-08-27,"---","396771","---","432615116300801",2802,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2297420.47,1362685.79,43.4376629442537,-116.503179160915,"Digitized"
"01N 01W 07BCC1","ADA","Well","Inactive",2020-06-18,"---","Irrigation","No","Yes",408,1965-07-10,"---","399734","---","432618116304401",2820,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2296725.38,1362768.46,43.4382183501506,-116.511790740541,"Digitized"
"01N 01W 07BCC2","ADA","Well","Inactive",2020-06-18,"---","Domestic","No","No",455,1973-08-31,"Air Rotary","380346","---","432618116304402",2815,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2296702.86,1362769.1,43.4382179967622,-116.512068987434,"Digitized"
