_id,site_code,stn_id,swn,well_name,continuous_data_station_number,latitude,longitude,gse,rpe,gse_method,gse_acc,basin_code,basin_name,county_name,well_depth,well_use,well_type,wcr_no,monitoring_program,geology
1,320000N1140000W001,51445,,Bay Ridge,,36.56048,-121.75463,545.92,545.92,Unknown,Unknown,,,Monterey,386.0,Residential,Part of a nested/multi-completion well,,VOLUNTARY,['M']
8,325536N1170608W001,48699,,Boundary Waters,,32.55361,-117.06083,45.26,43.5,GPS,0.1 ft.,9-033,Coastal Plain Of San Diego,San Diego,280.0,Observation,Part of a nested/multi-completion well,,VOLUNTARY,['Q']
25,325910N1170835W006,48698,,Otay Trolley,,32.59099,-117.08351,23.63,22.03,GPS,0.1 ft.,9-033,Coastal Plain Of San Diego,San Diego,65.0,Observation,Part of a nested/multi-completion well,,VOLUNTARY,['Q']
69,326821N1171124W006,48697,,Naval Base,,32.68209,-117.11241,12.25,10.3,GPS,0.1 ft.,9-033,Coastal Plain Of San Diego,San Diego,25.0,Observation,Part of a nested/multi-completion well,,VOLUNTARY,['Q']
245,327378N1170722W001,48696,,Chollas Park,,32.73778,-117.07222,335.0,335.0,GPS,0.1 ft.,,,San Diego,160.0,Observation,Part of a nested/multi-completion well,,VOLUNTARY,['Ec']
466,327781N1171209W006,48695,,Aqua Culture,,32.77811,-117.12086,59.87,60.26,GPS,0.1 ft.,9-014,Mission Valley,San Diego,50.0,Observation,Part of a nested/multi-completion well,,VOLUNTARY,['Q']
605,328442N1169971W001,51087,,MW-2,,32.8442,-116.99715,327.0,329.12,Surveyed to a benchmark,0.1 ft.,9-015,San Diego River Valley,San Diego,36.0,Observation,Single Well,,CASGEM,['Q']
624,328556N1169394W001,48692,,Marilla Well,,32.85561,-116.93943,376.43,378.34,GPS,0.1 ft.,9-015,San Diego River Valley,San Diego,35.0,Observation,Single Well,,CASGEM,['grMz']
644,328662N1169215W001,51088,15S01E18P001S,Vine Street,,32.86624,-116.92146,400.0,402.0,Other,Unknown,9-015,San Diego River Valley,San Diego,240.0,Observation,Single Well,,CASGEM,['Q']
652,328715N1169003W001,51722,,Well 101,,32.8715,-116.9003,426.4,428.11,Surveyed to a benchmark,0.1 ft.,9-015,San Diego River Valley,San Diego,210.0,Other,Single Well,,CASGEM,['Q']
657,328749N1168843W001,49057,,HWD-2,,32.8749,-116.8843,446.29,447.24,GPS,0.1 ft.,9-015,San Diego River Valley,San Diego,65.0,Observation,Single Well,,VOLUNTARY,['Q']
659,328783N1169242W001,48689,,MW-103,,32.8783,-116.92421,468.84,468.84,GPS,0.1 ft.,9-015,San Diego River Valley,San Diego,95.0,Observation,Single Well,,VOLUNTARY,['Q']
689,329054N1169302W001,51086,,AMW-2,,32.90537,-116.93024,450.0,452.5,GPS,0.1 ft.,9-015,San Diego River Valley,San Diego,70.0,Observation,Single Well,,CASGEM,['grMz']
690,329102N1169242W001,48690,,AMW-1,,32.91019,-116.92421,464.9,467.2,GPS,0.1 ft.,9-015,San Diego River Valley,San Diego,95.0,Observation,Single Well,,VOLUNTARY,['grMz']
755,329593N1169256W001,48691,,Confluence,,32.8675,-116.9256,390.0,393.21,GPS,0.1 ft.,9-015,San Diego River Valley,San Diego,38.0,Observation,Single Well,,CASGEM,['Q']
803,330494N1170425W001,48688,,SP014,,33.0494,-117.0425,330.0,331.32,Digital Elevation Model,5 ft.,9-010,San Pasqual Valley,San Diego,43.0,Observation,Single Well,,SGMA,['grMz']
804,330557N1170464W001,49485,13S02W12M003S,SDLH,,33.0557,-117.0464,321.8,322.17,GPS,5 ft.,9-010,San Pasqual Valley,San Diego,280.0,Observation,Part of a nested/multi-completion well,,SGMA,['Q']
807,330786N1169983W002,58031,,SP110,,33.0786,-116.99832,375.3,378.5,Digital Elevation Model,5 ft.,9-010,San Pasqual Valley,San Diego,120.0,Observation,Single Well,,SGMA,['Q']
808,330848N1170146W001,49293,,SP107,,33.08482,-117.01464,357.8,360.8,Digital Elevation Model,5 ft.,9-010,San Pasqual Valley,San Diego,43.0,Observation,Single Well,,SGMA,['Qoa']
809,330870N1169636W002,58032,12S01W35B001S,SP058,,33.08702,-116.96367,415.5,418.1,Digital Elevation Model,5 ft.,9-010,San Pasqual Valley,San Diego,190.0,Observation,Single Well,,SGMA,['Q']
810,330874N1169748W001,48694,12S01W34L004S,SDSY,,33.08736,-116.97481,401.4,402.25,GPS,5 ft.,9-010,San Pasqual Valley,San Diego,340.0,Observation,Part of a nested/multi-completion well,012S001W34L004S,SGMA,['Q']
814,330921N1169508W002,58035,,SP089,,33.09218,-116.95084,438.7,440.3,Digital Elevation Model,5 ft.,9-010,San Pasqual Valley,San Diego,190.0,Irrigation,Single Well,,SGMA,['Q']
815,330924N1169465W001,49292,,SP073,,33.09239,-116.9465,446.0,449.3,Digital Elevation Model,5 ft.,9-010,San Pasqual Valley,San Diego,192.0,Observation,Single Well,,SGMA,['Q']
816,330949N1169598W002,58033,,Rockwood MW-2,,33.0949,-116.95987,424.6,424.6,Digital Elevation Model,5 ft.,9-010,San Pasqual Valley,San Diego,200.0,Observation,Single Well,,SGMA,['Q']
817,330979N1170172W001,49689,12S01W30J003S,SDCD,,33.09871,-117.0172,362.1,369.8,GPS,5 ft.,9-010,San Pasqual Valley,San Diego,130.0,Observation,Part of a nested/multi-completion well,e0169079,SGMA,['grMz']
821,331063N1170154W002,58030,,SP070,,33.10633,-117.01549,381.5,384.3,Unknown,Unknown,,,San Diego,190.0,Observation,Single Well,,VOLUNTARY,['grMz']
823,331109N1161314W001,14581,,Split Mountain Road ,,33.11097,-116.13039,112.21,112.21,Unknown,Unknown,7-024.02,Ocotillo Wells,San Diego,156.0,Irrigation,Single Well,,CASGEM,['Q']
835,331560N1161680W001,51152,,SVRA ,,33.15596,-116.16801,384.0,385.5,GPS,Unknown,7-024.02,Ocotillo Wells,San Diego,400.0,Other,Single Well,,CASGEM,['Q']
836,331568N1162437W001,55300,12S07E04R001S,12S07E04R001S,,33.15683,-116.24373,765.0,765.9,USGS quad,Unknown,7-024.02,Ocotillo Wells,San Diego,381.0,Unknown,Single Well,137896,VOLUNTARY,['Qoa']
