site_code,latitude,longitude,well_depth,well_use,geology,Region_Off,Basin_Subb,observations_2010,observations_2011,observations_2012,observations_2013,observations_2014,observations_2015,observations_2016,observations_2017,observations_2018,observations_2019,observations_2020,observations_2021,observations_2022,observations_2023,observations_2024
344779N1192479W001,35.47786,-119.24792,600.0,Irrigation,['Qoa'],SCRO,5-022.14,0,1,2,2,2,2,2,2,2,2,1,0,0,0,0
348022N1190201W001,34.80242,-119.01977,151.0,Observation,['Q'],SRO,5-083,0,0,1,2,2,2,2,2,1,1,2,2,2,2,2
348253N1188673W001,34.82525,-118.86733,363.0,Observation,['Q'],SCRO,5-029,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2
348364N1188598W001,34.83638,-118.8598,407.0,Observation,['Q'],SCRO,5-029,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2
348411N1188586W001,34.84113,-118.85857,50.0,Observation,['Q'],SCRO,5-029,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1
348461N1188629W001,34.84608,-118.86294,34.0,Observation,['Q'],SCRO,5-029,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2
348538N1188752W001,34.85378,-118.87523,350.0,Observation,['Q'],SCRO,5-029,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2
349662N1189211W001,34.96626,-118.92112,1765.0,Observation,['Q'],SCRO,5-022.18,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2
349701N1188365W001,34.97011,-118.83654,990.0,Observation,['Q'],SCRO,5-022.18,0,0,0,0,0,0,0,2,2,2,1,1,0,0,0
349764N1188520W001,34.97631,-118.85275,460.0,Observation,['Q'],SCRO,5-022.18,0,0,0,0,0,0,0,3,2,3,1,3,2,2,2
349764N1188520W002,34.97636,-118.85202,990.0,Observation,['Q'],SCRO,5-022.18,0,0,0,0,0,0,0,2,2,2,1,1,0,0,0
349836N1188439W001,34.98358,-118.84389,1160.0,Observation,['Q'],SCRO,5-022.18,0,0,0,0,0,0,0,2,2,2,1,1,0,0,0
